2025-09-01 20:43:00.539 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.568 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.597 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.626 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.655 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.684 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.713 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.742 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.770 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.799 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.828 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.857 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.886 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.914 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.944 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:00.973 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.001 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.030 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.059 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.089 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.118 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.147 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.176 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.204 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.233 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.262 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.290 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.320 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.349 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.379 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.408 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.438 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.467 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.496 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.525 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.554 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.583 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.612 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.641 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.670 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.699 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.729 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.758 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.787 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.816 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
2025-09-01 20:43:01.845 | ERROR    | src.stt.whisper_adapter:transcribe:120 - ❌ Transcription failed: [Errno 2] No such file or directory: 'ffmpeg'
